id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1826;105384;Jus de mandarine Vitamont 75cl;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7291-vitamont-pur-jus-de-clementine-75cl-3289196500083.html;Pur jus de clementine 75cl;3289196500083;;279;2026-08-13 12:08:42
463;105469;Café décaféiné Destination Capsules x10;https://www.etiketbio.eu/capsules-compatible-nespresso-/24437-destination-capsule-cafe-decafeine-x10-bio-3700110054722.html;Capsule cafe decafeine x10 bio;3700110054722;;452;2026-08-13 07:39:33
381;10548;Liquide vaisselle douceur à la verveine Ecodoo 500ML;https://www.etiketbio.eu/liquide-vaisselle/8338-ecodoo-liquide-vaisselle-douceur-verveine-500ml-3380390900744.html;Liquide vaisselle verveine 500ml Ecodoo;3380390900744;;536;2026-08-12 15:39:39
492;106971;Thé noir Breakfast Destination x20;https://www.etiketbio.eu/the-noir-bio/21846-destination-the-noir-breakfast-20x2g-3700110008114.html;Thé noir Breakfast Destination x20;3700110008114;;1000;2026-08-13 07:45:17
83;10698;Tortils citron safran Priméal 250g;https://www.etiketbio.eu/specialites/8255-primeal-tortils-citron-safran-250g-3380390173506.html;Tortils citron safran bio 250g Priméal;3380390173506;;787;2026-08-12 13:01:54
2293;107020;Filets de maquereaux à l'huile d'olive Phare d'Eckmühl 151g;https://www.etiketbio.eu/maquereau/25199-phare-deckmuhl-filets-de-maquereaux-huile-olive-bio-151gr-3263670008500.html;Filets maquereaux olive Phare d’Eckmühl;3263670008500;;303;2026-08-13 13:18:00
2287;107021;Filets de maquereaux au vin blanc Phare d'Eckmühl 151g;https://www.etiketbio.eu/maquereau/23946-phare-deckmuhl-filets-de-maquereaux-marines-muscadet-et-aromates-151g-3263670008517.html;Filets maquereaux Muscadet Phare d’Eckmühl;3263670008517;;303;2026-08-13 13:16:52
2286;107022;Filets de maquereaux à la moutarde Phare d'Eckmühl 144g;https://www.etiketbio.eu/maquereau/23944-phare-deckmuhl-filets-de-maquereaux-sauce-moutarde-bio-144gr-3263670008487.html;Filets de maquereaux sauce moutarde bio 144gr;3263670008487;;341;2026-08-13 13:16:35
2407;107102;Graines de lin brun Markal 250g;https://www.etiketbio.eu/graines-de-lin-bio/15513-markal-graines-de-lin-brun-250g-3329488811258.html;Graines de lin brun 250g - Markal;3329488811258;;1000;2026-08-13 13:30:46
743;108580;Thé vert Gunpowder Elibio 200g;https://www.etiketbio.eu/the-vert-nature-bio/25937-elibio-the-vert-gunpowder-200g-3760294960387.html;The vert gunpowder 200g;3760294960387;;694;2026-08-13 08:39:50
