id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1109;14640;Garam masala Cook 35g;https://www.etiketbio.eu/melanges-epices-bio/8909-cook-garam-masala-35g-3417960022701.html;Garam masala bio Cook 35g;3417960022701;;730;46247,41024
1055;14642;Gingembre moulu Cook 30g;https://www.etiketbio.eu/epices-en-poudre-bio/8911-cook-gingembre-poudre-30g-3417960022725.html;Gingembre moulu bio Cook 30g;3417960022725;;738;46247,40421
1047;14643;Clous de girofle Cook 30g;https://www.etiketbio.eu/epices-en-graines-bio/8898-cook-clou-de-girofle-entier-biopartenaire-30g-3417960022596.html;Clous de girofle bio Cook 30g;3417960022596;;772;46247,40343
2181;14664;Sauce tomate au basilic Prosain 370g;https://www.etiketbio.eu/sauce-tomate-preparee/7765-prosain-sauce-tomate-au-basilic-370g-3335880005706.html;Sauce tomate basilic Prosain 370g;3335880005706;;797;46247,52829
1918;14666;Sauce tomate parmesan et ricotta Prosain 200G;https://www.etiketbio.eu/sauce-tomate-preparee/7771-sauce-tocate-parmesan-ricotta-200g-prosain-3335880005836.html;Sauce tomate parmesan ricotta bio Prosain 200;3335880005836;;667;46247,51634
1127;14920;Marjolaine en feuilles Cook 10g;https://www.etiketbio.eu/herbes-aromates-bio/8913-cook-marjolaine-feuilles-10g-3417960022756.html;Marjolaine feuilles bio Cook 10g;3417960022756;;711;46247,41247
1126;14924;Mélange pour Pizza Cook 13g;https://www.etiketbio.eu/melanges-epices-bio/8917-cook-melange-pizza-13g-3417960022794.html;Mélange pizza bio Cook 13g;3417960022794;;664;46247,41205
1059;14928;Noix de muscade Cook 30g;https://www.etiketbio.eu/epices-en-graines-bio/8921-cook-muscade-noix-30-g-3417960022831.html;Noix de muscade bio Cook 30g;3417960022831;;769;46247,40459
1056;14932;Origan feuille bio Cook 13g;https://www.etiketbio.eu/herbes-aromates-bio/8925-cook-origan-13g-3417960022879.html;Origan feuilles bio Cook 13g;3417960022879;;785;46247,40431
1080;14936;Persil feuilles Cook 10g;https://www.etiketbio.eu/herbes-aromates-bio/8929-cook-persil-feuille-10-g-3417960022916.html;Persil feuilles bio Cook 10g;3417960022916;;738;46247,40628
1074;14939;Piment de Cayenne Cook 40g;https://www.etiketbio.eu/epices-en-poudre-bio/8932-cook-piment-de-cayenne-40g-3417960022947.html;Piment de Cayenne bio Cook 40g;3417960022947;;774;46247,40557
1052;14941;Poivre blanc moulu Cook 45g;https://www.etiketbio.eu/poivres-baies-bio/8934-cook-poivre-blanc-poudre-45g-3417960022961.html;Poivre blanc moulu bio Cook 45g;3417960022961;;776;46247,40382
1077;14948;Ras El Hanout Cook 35g;https://www.etiketbio.eu/melanges-epices-bio/8940-cook-ras-el-hanout-35g-3417960023036.html;Ras el hanout bio Cook 35g;3417960023036;;764;46247,40596
1063;14949;Romarin en feuilles Cook 25g;https://www.etiketbio.eu/herbes-aromates-bio/8941-cook-romarin-feuilles-25g-3417960023043.html;Romarin feuilles bio Cook 25g;3417960023043;;702;46247,4049
