id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
997;24537;Crousty roll cacao noisette Bisson 125g;https://www.etiketbio.eu/biscuits-au-chocolat/8066-bisson-crousty-roll-chocolat-et-noisette-125g-3380380070280.html;Crousty Roll chocolat noisette bio 125g – Bisson;3380380070280;;622;46247,39328
1285;25054;Muesli croustillant duo de chocolats Favrichon 500g;https://www.etiketbio.eu/granola-crunchy-krounchy/6589-favrichon-muesli-croustillant-duo-choco-500g-3111900350571.html;Muesli duo chocolats bio 500g Favrichon;3111900350571;;556;46247,43571
225;25303;Bouillon de légumes sans levure Rapunzel 80g;https://www.etiketbio.eu/bouillons/25253-rapunzel-bouillon-legumes-cubes-sans-levure-80g-4006040246534.html;Bouillon legumes cubes sans levure 80g;4006040246534;;592;46246,63674
1865;25579;Nectar poire des Alpes Vitamont 25cl;https://www.etiketbio.eu/jus-de-fruits/7282-vitamont-mini-nectar-de-poire-des-alpes-25cl-3289196470065.html;Mini nectar de poire des alpes 25cl;3289196470065;;543;46247,50929
763;25742;Chocolat au lait pâtissier Bonneterre 200g;https://www.etiketbio.eu/chocolat-patissier-bio/8657-bonneterre-chocolat-lait-patisserie-200g-3396411221286.html;Chocolat lait pâtissier Bonneterre;3396411221286;;596;46247,36539
1523;26038;Graines à germer roquette Germline 100g;https://www.etiketbio.eu/graines-a-germer/22098-germline-roquette-a-germer-100g-3465511128105.html;Roquette à germer bio 100g piquante - Germline;3465511128105;;602;46247,46257
15;26240;Couscous marocain  Priméal 300g;https://www.etiketbio.eu/couscous-bio/8088-primeal-couscous-marocain-300g-3380380071812.html;Couscous marocain 300g;3380380071812;;635;46246,53775
213;26276;Chocolat lait fourré praliné Rapunzel 100g;https://www.etiketbio.eu/chocolat-au-lait-bio/25633-rapunzel-chocolat-lait-foure-praline-100g-4006040410829.html;Chocolat lait foure praline 100g;4006040410829;;577;46246,63538
598;27013;Ka'ré fourré sans gluten Grillon d'Or 375g;https://www.etiketbio.eu/cereale-enfant-petit-dejeuner/19049-grillon-dor-kare-fourre-choco-s-gluten-3421557501074.html;Ka’ré fourré chocolat bio sans gluten – Grillon d’Or;3421557501074;;614;46247,33919
926;27130;Huile de coco désodorisée Bio Planète 400ml;https://www.etiketbio.eu/huiles/27126-huile-de-coco-desodorisee-400ml-4260355580596.html;Huile de coco desodorisee 400ml;4260355580596;;598;46247,39052
1475;28216;Huile de cameline Emile Noël 500ml;https://www.etiketbio.eu/huiles/13203-emile-noel-huile-vierge-de-cameline-500ml-3291960012982.html;Huile vierge de cameline 500ml;3291960012982;;521;46247,4535
370;28640;Crusty épeautre et fromage Pural 200g;https://www.etiketbio.eu/biscuits-aperitif/16481-puraliment-crusty-epeautre-fromage-200g-3184340061086.html;Crusty epeautre fromage 200g;3184340061086;;574;46246,64721
1230;28912;Purée pomme fruits rouges Danival 4x100g;https://www.etiketbio.eu/purees-de-fruits/9328-danival-puree-fruits-rouges-4x100g-3431590013717.html;Puree fruits rouges 4x100g;3431590013717;;525;46247,4248
1234;29181;Miso blanc Danival 200g;https://www.etiketbio.eu/miso-bio/9314-danival-miso-blanc-200g-3431590013526.html;Miso blanc 200g;3431590013526;;592;46247,42559
2366;29521;Sardines au piment d'Espelette Phare d'Eckmühl 135g;https://www.etiketbio.eu/sardines/6897-phare-deckmuhl-sardines-au-piment-despelettes-135g-3263670152012.html;Sardines piment Espelette Phare d’Eckmühl;3263670152012;;514;46247,55938
1135;31686;Maca force 3 Diet Horizon 60 gélules;https://www.etiketbio.eu/maca-bio/11261-diet-horizon-maca-force-3-bio-60gel-5060072732419.html;Maca Force 3 Bio Diet Horizon;5060072732419;;571;46247,4149
2258;32185;Thé Noir mon amour Les Jardins de Gaïa 100g;https://www.etiketbio.eu/the-noir-bio/9833-jardins-gaia-the-noir-mon-amour-100g-3582810578827.html;Thé noir Mon Amour Gaïa 100g;3582810578827;;526;46247,54047
1318;33649;Muesli croustillant lin et fibres Favrichon 400g;https://www.etiketbio.eu/muesli-nature/6601-favrichon-muesli-bien-etre-lin-et-fibres-400g-3111900350717.html;Muesli lin fibres bio 400g Favrichon;3111900350717;;578;46247,43866
400;34782;Détachant et blanchissant Percarbonate Ecodoo 350g;https://www.etiketbio.eu/blanchissant-/13340-ecodoo-detachant-et-blanchissant-350g-3380380078491.html;Detachant et blanchissant 350g;3380380078491;;500;46246,65453
68;36400;Coquillettes blanches Priméal 500g;https://www.etiketbio.eu/pate-blanche/8274-primeal-coquillettes-blanches-100-france-500g-3380390191401.html;Coquillettes blanches bio 500g Priméal France;3380390191401;;574;46246,541
367;36415;Crusty chia Pural 200g;https://www.etiketbio.eu/biscuits-aperitif/13057-puraliment-crusty-chia-200g-3184340161052.html;CRUSTY CHIA 200G;3184340161052;;632;46246,64677
2372;36950;Filets de hareng fumés Phare d'Eckmühl 150g;https://www.etiketbio.eu/saumon-et-poissons/6907-phare-deckmuhl-filet-de-harengs-fumes-150g-3263670560114.html;Filets harengs fumés Phare d’Eckmühl;3263670560114;;505;46247,55977
624;37030;Dentifrice citron Argiletz 75ml;https://www.etiketbio.eu/dentifrice/7534-argiletz-dentifrice-citron-75ml-3326100000182.html;Dentifrice citron 75ml;3326100000182;;623;46247,3486
1025;37418;Purée pommes myrtilles Côteaux Nantais 630g;https://www.etiketbio.eu/purees-de-fruits/7494-coteaux-nantais-puree-pomme-myrtille-sans-sucre-630g-3301597000969.html;Purée pomme myrtille 630g bio Côteaux Nantais;3301597000969;;532;46247,39953
143;38222;Riz Mélo Lentilles Noisettes Priméal 500g;https://www.etiketbio.eu/preparations-a-base-de-riz/12060-primeal-riz-melo-lentille-noisette-500g-3380380080227.html;Riz mélo lentille noisette bio Priméal 500g;3380380080227;;531;46246,55146
1195;39583;Purée pomme châtaigne Danival 4x100g;https://www.etiketbio.eu/purees-de-fruits/12824-danival-dessert-pomme-chataigne-4x100g-3431590014080.html;Dessert pomme châtaigne Danival 4x100g;3431590014080;;649;46247,41922
1032;40177;Madeleines aux pépites de chocolat sans gluten Céliane 180g;https://www.etiketbio.eu/gateaux-sans-gluten/17743-les-recettes-de-celianes-madeleines-pepites-choco-180g-3700566453131.html;Madeleines pépites choco 180g bio sans gluten - Céliane;3700566453131;;595;46247,40167
1030;40178;Madeleines aux oeufs sans gluten Céliane 180g;https://www.etiketbio.eu/gateaux-sans-gluten/17744-les-recettes-de-celianes-madeleines-aux-oeufs-180g-3700566453148.html;Madeleines aux œufs 180g bio sans gluten;3700566453148;;561;46247,40109
673;40231;Argent colloïdal 20PPM vaporisateur Catalyons 150ml;https://www.etiketbio.eu/argent-colloidal/27203-argent-colloidal-20ppm-vaporisateur-150-ml-3760166800001.html;Argent colloïdal 20ppm - vaporisateur 150 ml;3760166800001;;559;46247,35698
847;60276;Vermicelles Thaï de riz Autour du Riz 200g;https://www.etiketbio.eu/specialites/22626-autour-du-riz-vermicelles-thai-de-riz-200g-3760103149415.html;Vermicelles thai de riz 200g;3760103149415;;500;46247,38109
1286;64449;Muesli chocolat noix de coco Favrichon 450g;https://www.etiketbio.eu/granola-crunchy-krounchy/14372-favrichon-muesli-croustillant-chocolat-noir-et-coco-450g-3111900350823.html;Muesli chocolat coco Favrichon 450g;3111900350823;;641;46247,43589
676;66556;Eau capillaire Catalyons 150ml;https://www.etiketbio.eu/cheveux/28456-eau-capillaire-150ml-3760166805976.html;Eau capillaire 150ml;3760166805976;;600;46247,35852
1502;68074;Huile vierge d'avocat Emile Noël 25cl;https://www.etiketbio.eu/huiles/21806-emile-noel-huile-vierge-davocat-25cl-3291960015617.html;Huile vierge d'avocat 25cl;3291960015617;;546;46247,45441
1350;68326;Lessive linge délicat lavandin bio Etamine du Lys 1l;https://www.etiketbio.eu/lessive-linges-delicats/16525-etamine-du-lys-lainage-linge-delicat-1l-3538394911208.html;Lainage linge délicat 1L Etamine du Lys;3538394911208;;542;46247,44512
1182;72872;Shampooing bio Cheveux Blonds Dermaclay 250ML;https://www.etiketbio.eu/shampooing/24510-dermaclay-shampooing-cheveux-blonds-250ml-3567730300505.html;Shampooing cheveux blonds 250ml;3567730300505;;544;46247,41727
2410;74269;Tartines spécial matin au sarrasin Le Pain des Fleurs 230g;https://www.etiketbio.eu/biscottes-et-tartines/15655-le-pain-des-fleurs-speciale-matin-sarrasin-fibres-230g-3380380087400.html;Tartines Spécial Matin sarrasin Pain des Fleurs;3380380087400;;627;46247,56332
1339;75636;Lessive liquide linge noir et foncé Etamine du Lys 1l;https://www.etiketbio.eu/lessive-liquide/16544-etamine-du-lys-lessive-linge-noir-et-fonce-litre-3538395312103.html;Lessive noir & foncé 1L Etamine du Lys;3538395312103;;566;46247,4422
2377;77602;Rillettes de thon Phare d'Eckmühl 120g;https://www.etiketbio.eu/rillettes-terrines-de-poisson/6905-phare-deckmuhl-rillettes-de-thon-listao-120g-3263670395013.html;Rillettes de thon listao 120g;3263670395013;;505;46247,55997
1935;77696;Sauce pizza à l'origan Prosain 290g;https://www.etiketbio.eu/sauce-tomate-preparee/22851-prosain-sauce-pizza-origan-290g-3335880007243.html;Sauce pizza origan bio Prosain 290g;3335880007243;;618;46247,5191
629;81291;Boisson bio avoine amande Bonneterre 1L;https://www.etiketbio.eu/boisson-a-l-amande-bio/23818-bonneterre-boisson-avoine-amande-1l-3396411239496.html;Boisson  avoine amande 1l;3396411239496;;508;46247,35162
772;84518;Haricots verts extra-fins Elibio 400g;https://www.etiketbio.eu/haricots-verts-haricots-beurre-bio/24191-elibio-haricots-verts-400g-3760294960202.html;Haricots verts bio Elibio 400g;3760294960202;;517;46247,36667
1825;84997;Nectar de mangue Vitamont 25cl;https://www.etiketbio.eu/jus-de-fruits/25857-vitamont-mini-nectar-de-mangue-25cl-3289196400260.html;Mini nectar de mangue 25cl;3289196400260;;600;46247,50575
2404;88721;Chips de pois chiche Le Pain des Fleurs 50g;https://www.etiketbio.eu/biscuits-sales-et-aperitif/21279-le-pain-des-fleurs-chips-aux-pois-chiches-50g-3380380093067.html;Chips pois chiches Pain des Fleurs 50g;3380380093067;;609;46247,56273
1263;88887;Recharge chicorée instantanée Favrichon 180g;https://www.etiketbio.eu/chicoree-bio/23978-favrichon-recharge-chicoree-180g-sans-sucres-ajoutes-sans-cafeine-sans-ble-3111900308503.html;Recharge chicorée bio Favrichon 180g;3111900308503;;640;46247,43394
999;88985;Biscuits sablés tout chocolat Bisson 150g;https://www.etiketbio.eu/cookies-bio/21225-sables-gourmets-tout-chocolat-150g-3380380092299.html;Sablés Gourmets tout chocolat bio 150g Bisson;3380380092299;;581;46247,39398
758;89886;Cookie tout chocolat Elibio 175g;https://www.etiketbio.eu/cookies-bio/24194-elibio-cookies-tout-chocolat-175g-3760294960288.html;Cookies tout chocolat 175g;3760294960288;;517;46247,36491
792;92989;Riz thaï demi complet Elibio 1kg;https://www.etiketbio.eu/riz-thai/24197-elibio-riz-thai-1-2-complet-1kg-3760294960677.html;Riz thaï demi-complet bio Elibio 1kg – jasmin;3760294960677;;640;46247,36998
1347;93790;Lessive jasmin Etamine du Lys 1L;https://www.etiketbio.eu/lessive-liquide/19904-etamine-du-lys-lessive-fleur-cerisier-jasmin-litre-3538395301107.html;Lessive fleur cerisier jasmin 1L Etamine du Lys;3538395301107;;608;46247,44472
1236;93864;Olivade verte Danival 100g;https://www.etiketbio.eu/pates-vegetaux/9280-danival-olivade-verte-100g-3431590009840.html;Olivade verte 100g;3431590009840;;614;46247,42588
1209;93866;Houmous Danival 100g;https://www.etiketbio.eu/produit-vegetal-a-tartiner/9281-danival-houmous-100g-3431590009857.html;Houmous 100g;3431590009857;;500;46247,42139
2290;93889;Thon blanc mariné au citron basilic Phare d'Eckmühl 115g;https://www.etiketbio.eu/thon-bio-en-conserves/22728-phare-deckmuhl-thon-blanc-au-citron-vert-basilic-115g-3263670004687.html;Thon blanc citron basilic Phare d’Eckmühl;3263670004687;;561;46247,55376
478;93912;Café guatemala Destination 500g;https://www.etiketbio.eu/cafe/23873-destination-cafe-equitable-guatemala-500g-3700110050496.html;Cafe equitable guatemala 500g;3700110050496;;575;46247,31885
1864;94030;Jus de cranberry Vitamont 25cl;https://www.etiketbio.eu/jus-de-cranberry-bio/28710-pur-jus-de-cranberry-25cl-3289196400314.html;Pur jus cranberry bio Vitamont 25cl;3289196400314;;554;46247,5091
