id,Nb_colonnes_modifiees,Colonnes_modifiees,code_interne,code_interne_Base1,code_interne_Differe,ean,ean_Base1,ean_Differe,description,description_Base1,description_Differe,marque,marque_Base1,marque_Differe,volume,volume_Base1,volume_Differe,lien_fiche,lien_fiche_Base1,lien_fiche_Differe,caracteristique,caracteristique_Base1,caracteristique_Differe,url_img,url_img_Base1,url_img_Differe,categorie_id,categorie_id_Base1,categorie_id_Differe,ean_valide,ean_valide_Base1,ean_valide_Differe,date_validation,date_validation_Base1,date_validation_Differe
206,1,ean,24666,24666,NON,3700110055668,,OUI,Thé vert menthe Destination 50 sachets,Thé vert menthe Destination 50 sachets,NON,Destination,Destination,NON,87g,87g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-50-sachets_24666,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-50-sachets_24666,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/e8/cd/27286416ddc2c61f0d54d20ac852.jpg,https://api.eau-vive.com/media/cache/drive_card_list/e8/cd/27286416ddc2c61f0d54d20ac852.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
217,1,ean,16098,16098,NON,3700110005564,,OUI,Thé vert Japon grand sencha Destination 80g,Thé vert Japon grand sencha Destination 80g,NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-japon-grand-sencha-destination-80g_16098,https://eau-vive.com/magasin-bio/produit/the-vert-japon-grand-sencha-destination-80g_16098,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/f0/d7/102d800c20f61c0204003cd07c0b.jpg,https://api.eau-vive.com/media/cache/drive_card_list/f0/d7/102d800c20f61c0204003cd07c0b.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
227,1,ean,106190,106190,NON,3700110055521,,OUI,Thé Vert Bio FFL Destination 20 x 2 g,Thé Vert Bio FFL Destination 20 x 2 g,NON,Destination,Destination,NON,32g,32g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-bio-ffl-destination-20-x-2-g_106190,https://eau-vive.com/magasin-bio/produit/the-vert-bio-ffl-destination-20-x-2-g_106190,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/7c/02/f7363b4eb0696d33160b72385b19.jpg,https://api.eau-vive.com/media/cache/drive_card_list/7c/02/f7363b4eb0696d33160b72385b19.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
228,1,ean,106828,106828,NON,3700110055620,,OUI,Thé Vert Earl Grey Bio et équitable Destination 20INF,Thé Vert Earl Grey Bio et équitable Destination 20INF,NON,Destination,Destination,NON,30g,30g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-earl-grey-bio-et-equitable-destination-20inf_106828,https://eau-vive.com/magasin-bio/produit/the-vert-earl-grey-bio-et-equitable-destination-20inf_106828,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/2d/a3/8ea2f65f04d28ca596e22864076c.jpg,https://api.eau-vive.com/media/cache/drive_card_list/2d/a3/8ea2f65f04d28ca596e22864076c.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
237,1,ean,16151,16151,NON,3700110008275,,OUI,Thé vert menthe Destination 100g,Thé vert menthe Destination 100g,NON,Destination,Destination,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-100g_16151,https://eau-vive.com/magasin-bio/produit/the-vert-menthe-destination-100g_16151,NON,,,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
620,1,ean,70604,70604,NON,3700110050700,,OUI,Chicorée nature soluble Destination 100g,Chicorée nature soluble Destination 100g,NON,Destination,Destination,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/chicoree-nature-soluble-destination-100g_70604,https://eau-vive.com/magasin-bio/produit/chicoree-nature-soluble-destination-100g_70604,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/90/09/796bb3798ef38b1ceaafa71d7322.jpg,https://api.eau-vive.com/media/cache/drive_card_list/90/09/796bb3798ef38b1ceaafa71d7322.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
667,1,ean,70507,70507,NON,3700110005243,,OUI,Thé vert gunpowder Chine Destination 200g,Thé vert gunpowder Chine Destination 200g,NON,Destination,Destination,NON,200g,200g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-gunpowder-chine-destination-200g_70507,https://eau-vive.com/magasin-bio/produit/the-vert-gunpowder-chine-destination-200g_70507,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/ba/58/5ef7ec7884dac861e9c013017650.jpg,https://api.eau-vive.com/media/cache/drive_card_list/ba/58/5ef7ec7884dac861e9c013017650.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
669,1,ean,93919,93919,NON,3700110050601,,OUI,Thé vert citron MH Destination 80g,Thé vert citron MH Destination 80g,NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-citron-mh-destination-80g_93919,https://eau-vive.com/magasin-bio/produit/the-vert-citron-mh-destination-80g_93919,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/4f/22/18cb7ecdfcb9f6229244ca6f53e7.jpg,https://api.eau-vive.com/media/cache/drive_card_list/4f/22/18cb7ecdfcb9f6229244ca6f53e7.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
670,1,ean,106197,106197,NON,3700110055644,,OUI,"Thé Vert Bio Destination 50 x 1,6 g","Thé Vert Bio Destination 50 x 1,6 g",NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-bio-destination-50-x-1-6-g_106197,https://eau-vive.com/magasin-bio/produit/the-vert-bio-destination-50-x-1-6-g_106197,NON,Essentiel Bio,Essentiel Bio,NON,https://api.eau-vive.com/media/cache/drive_card_list/63/34/a5458737a9ac9d8e6e8bf3699e2d.jpg,https://api.eau-vive.com/media/cache/drive_card_list/63/34/a5458737a9ac9d8e6e8bf3699e2d.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
672,1,ean,106712,106712,NON,3700110055637,,OUI,Thé Vert BIO à la Menthe Destination 20 infusettes,Thé Vert BIO à la Menthe Destination 20 infusettes,NON,Destination,Destination,NON,35g,35g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-bio-a-la-menthe-destination-20-infusettes_106712,https://eau-vive.com/magasin-bio/produit/the-vert-bio-a-la-menthe-destination-20-infusettes_106712,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/e9/2a/958c9457969851eb15e7d3bffa84.jpg,https://api.eau-vive.com/media/cache/drive_card_list/e9/2a/958c9457969851eb15e7d3bffa84.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1403,1,ean,109677,109677,NON,,3291960008688,OUI,Savonnettes karité Emma Noël 3x150g,Savonnettes karité Emma Noël 3x150g,NON,Emma Noël,Emma Noël,NON,450g,450g,NON,https://eau-vive.com/magasin-bio/produit/savonnettes-karite-emma-noel-3x150g_109677,https://eau-vive.com/magasin-bio/produit/savonnettes-karite-emma-noel-3x150g_109677,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/33/79/05335fe58fee8e2ce946ed9479be.jpg,https://api.eau-vive.com/media/cache/drive_card_list/33/79/05335fe58fee8e2ce946ed9479be.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
1404,1,ean,109783,109783,NON,,3291960011749,OUI,Savonettes amande douce et agrumes Emma Noël 3x150g,Savonettes amande douce et agrumes Emma Noël 3x150g,NON,Emma Noël,Emma Noël,NON,450g,450g,NON,https://eau-vive.com/magasin-bio/produit/savonettes-amande-douce-et-agrumes-emma-noel-3x150g_109783,https://eau-vive.com/magasin-bio/produit/savonettes-amande-douce-et-agrumes-emma-noel-3x150g_109783,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/98/2d/437eb299ef9d6b43e9925fa276fe.jpg,https://api.eau-vive.com/media/cache/drive_card_list/98/2d/437eb299ef9d6b43e9925fa276fe.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
1409,1,ean,13965,13965,NON,3380390900904,,OUI,Savon d'Alep non bio Douce Nature 200g,Savon d'Alep non bio Douce Nature 200g,NON,Douce Nature,Douce Nature,NON,200g,200g,NON,https://eau-vive.com/magasin-bio/produit/savon-d-alep-non-bio-douce-nature-200g_13965,https://eau-vive.com/magasin-bio/produit/savon-d-alep-non-bio-douce-nature-200g_13965,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1417,1,ean,97656,97656,NON,,3291960014436,OUI,Savonnettes monoï Emma Noël x3,Savonnettes monoï Emma Noël x3,NON,Emma Noël,Emma Noël,NON,450g,450g,NON,https://eau-vive.com/magasin-bio/produit/savonnettes-monoi-emma-noel-x3_97656,https://eau-vive.com/magasin-bio/produit/savonnettes-monoi-emma-noel-x3_97656,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
1418,1,ean,99934,99934,NON,,3760349311126,OUI,Savon à l'huile de baies de laurier Comme Avant 100g,Savon à l'huile de baies de laurier Comme Avant 100g,NON,Comme Avant,Comme Avant,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/savon-a-l-huile-de-baies-de-laurier-comme-avant-100g_99934,https://eau-vive.com/magasin-bio/produit/savon-a-l-huile-de-baies-de-laurier-comme-avant-100g_99934,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1419,1,ean,99935,99935,NON,,3760349311133,OUI,Savon à l'huile de bourrache Comme Avant 100g,Savon à l'huile de bourrache Comme Avant 100g,NON,Comme Avant,Comme Avant,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/savon-a-l-huile-de-bourrache-comme-avant-100g_99935,https://eau-vive.com/magasin-bio/produit/savon-a-l-huile-de-bourrache-comme-avant-100g_99935,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1420,1,ean,119647,119647,NON,,3760349311140,OUI,Savon au beurre de karité Comme Avant 100g,Savon au beurre de karité Comme Avant 100g,NON,Comme Avant,Comme Avant,NON,100g,100g,NON,https://eau-vive.com/magasin-bio/produit/savon-au-beurre-de-karite-comme-avant-100g_119647,https://eau-vive.com/magasin-bio/produit/savon-au-beurre-de-karite-comme-avant-100g_119647,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1467,1,ean,123367,123367,NON,,3760349456056,OUI,Kit découverte déodorant en poudre à diluer fleur de coton Pimpant 20g,Kit découverte déodorant en poudre à diluer fleur de coton Pimpant 20g,NON,Pimpant,Pimpant,NON,20g,20g,NON,https://eau-vive.com/magasin-bio/produit/kit-decouverte-deodorant-en-poudre-a-diluer-fleur-de-coton-pimpant-20g_123367,https://eau-vive.com/magasin-bio/produit/kit-decouverte-deodorant-en-poudre-a-diluer-fleur-de-coton-pimpant-20g_123367,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/d2/7f/0082c93196742095448d6341a5e6.jpg,https://api.eau-vive.com/media/cache/drive_card_list/d2/7f/0082c93196742095448d6341a5e6.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
1492,1,ean,34787,34787,NON,,3291960015181,OUI,Huile sèche monoï pour le corps Emma Noël 100ml,Huile sèche monoï pour le corps Emma Noël 100ml,NON,Emma Noël,Emma Noël,NON,100mL,100mL,NON,https://eau-vive.com/magasin-bio/produit/huile-seche-monoi-pour-le-corps-emma-noel-100ml_34787,https://eau-vive.com/magasin-bio/produit/huile-seche-monoi-pour-le-corps-emma-noel-100ml_34787,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
1606,1,ean,123357,123357,NON,,3760349311805,OUI,Dentifrice à l'argile blanche fraise Comme Avant 90ml,Dentifrice à l'argile blanche fraise Comme Avant 90ml,NON,Comme Avant,Comme Avant,NON,90mL,90mL,NON,https://eau-vive.com/magasin-bio/produit/dentifrice-a-l-argile-blanche-fraise-comme-avant-90ml_123357,https://eau-vive.com/magasin-bio/produit/dentifrice-a-l-argile-blanche-fraise-comme-avant-90ml_123357,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1621,1,ean,83040,83040,NON,,3052351354643,OUI,Démaquillant solide à l'huile de jojoba Comme Avant 40g,Démaquillant solide à l'huile de jojoba Comme Avant 40g,NON,Comme Avant,Comme Avant,NON,40g,40g,NON,https://eau-vive.com/magasin-bio/produit/demaquillant-solide-a-l-huile-de-jojoba-comme-avant-40g_83040,https://eau-vive.com/magasin-bio/produit/demaquillant-solide-a-l-huile-de-jojoba-comme-avant-40g_83040,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1641,2,"ean, volume",123331,123331,NON,,3701761500354,OUI,Sérum liftant collagène routine anti-âge Endro 30ml,Sérum liftant collagène routine anti-âge Endro 30ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/serum-liftant-collagene-routine-anti-age-endro-30ml_123331,https://eau-vive.com/magasin-bio/produit/serum-liftant-collagene-routine-anti-age-endro-30ml_123331,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1642,2,"ean, volume",123334,123334,NON,,3701761500385,OUI,Sérum hydratant routine hydratante Endro 30ml,Sérum hydratant routine hydratante Endro 30ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/serum-hydratant-routine-hydratante-endro-30ml_123334,https://eau-vive.com/magasin-bio/produit/serum-hydratant-routine-hydratante-endro-30ml_123334,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1643,2,"ean, volume",123335,123335,NON,,3701761500392,OUI,Sérum repulpant routine anti-âge Endro 30ml,Sérum repulpant routine anti-âge Endro 30ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/serum-repulpant-routine-anti-age-endro-30ml_123335,https://eau-vive.com/magasin-bio/produit/serum-repulpant-routine-anti-age-endro-30ml_123335,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1644,2,"ean, volume",123345,123345,NON,,3701761500606,OUI,Crème de jour anti-âge routine anti-âge Endro 50ml,Crème de jour anti-âge routine anti-âge Endro 50ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/creme-de-jour-anti-age-routine-anti-age-endro-50ml_123345,https://eau-vive.com/magasin-bio/produit/creme-de-jour-anti-age-routine-anti-age-endro-50ml_123345,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1649,2,"ean, volume",123333,123333,NON,,3701761500378,OUI,Sérum anti-tâches routine anti-tâches Endro 30ml,Sérum anti-tâches routine anti-tâches Endro 30ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/serum-anti-taches-routine-anti-taches-endro-30ml_123333,https://eau-vive.com/magasin-bio/produit/serum-anti-taches-routine-anti-taches-endro-30ml_123333,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/db/cd/f6dedf928f356d90eaecdcbd3fc3.jpg,https://api.eau-vive.com/media/cache/drive_card_list/db/cd/f6dedf928f356d90eaecdcbd3fc3.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1667,2,"ean, volume",123332,123332,NON,,3701761500361,OUI,Sérum bonne mine routine éclat Endro 30ml,Sérum bonne mine routine éclat Endro 30ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/serum-bonne-mine-routine-eclat-endro-30ml_123332,https://eau-vive.com/magasin-bio/produit/serum-bonne-mine-routine-eclat-endro-30ml_123332,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/fa/33/859cfae3d8f12d4d9703107cd384.jpg,https://api.eau-vive.com/media/cache/drive_card_list/fa/33/859cfae3d8f12d4d9703107cd384.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1668,2,"ean, volume",123343,123343,NON,,3701761500583,OUI,Crème hydratante visage routine hydratante Endro 50ml,Crème hydratante visage routine hydratante Endro 50ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/creme-hydratante-visage-routine-hydratante-endro-50ml_123343,https://eau-vive.com/magasin-bio/produit/creme-hydratante-visage-routine-hydratante-endro-50ml_123343,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1669,2,"ean, volume",123346,123346,NON,,3701761500613,OUI,Crème visage bonne mine routine éclat Endro 50ml,Crème visage bonne mine routine éclat Endro 50ml,NON,Endro,Endro,NON,50g,,OUI,https://eau-vive.com/magasin-bio/produit/creme-visage-bonne-mine-routine-eclat-endro-50ml_123346,https://eau-vive.com/magasin-bio/produit/creme-visage-bonne-mine-routine-eclat-endro-50ml_123346,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/c5/44/4ec919d50e45ab00ee9c02704b45.jpg,https://api.eau-vive.com/media/cache/drive_card_list/c5/44/4ec919d50e45ab00ee9c02704b45.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
1688,1,ean,108045,108045,NON,,3760349310655,OUI,Parfum solide vanille et jasmin Comme Avant 20g,Parfum solide vanille et jasmin Comme Avant 20g,NON,Comme Avant,Comme Avant,NON,20g,20g,NON,https://eau-vive.com/magasin-bio/produit/parfum-solide-vanille-et-jasmin-comme-avant-20g_108045,https://eau-vive.com/magasin-bio/produit/parfum-solide-vanille-et-jasmin-comme-avant-20g_108045,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/f4/dd/964aa038888336464d6d620c6385.jpg,https://api.eau-vive.com/media/cache/drive_card_list/f4/dd/964aa038888336464d6d620c6385.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1689,1,ean,108046,108046,NON,,3760349310679,OUI,Parfum solide lait de coco fleur d'oranger Comme Avant 20g,Parfum solide lait de coco fleur d'oranger Comme Avant 20g,NON,Comme Avant,Comme Avant,NON,20g,20g,NON,https://eau-vive.com/magasin-bio/produit/parfum-solide-lait-de-coco-fleur-d-oranger-comme-avant-20g_108046,https://eau-vive.com/magasin-bio/produit/parfum-solide-lait-de-coco-fleur-d-oranger-comme-avant-20g_108046,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/51/4e/fb5dfbfab8c792a5081665408a47.jpg,https://api.eau-vive.com/media/cache/drive_card_list/51/4e/fb5dfbfab8c792a5081665408a47.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
1874,1,ean,123359,123359,NON,,3760349454083,OUI,Lessive universelle en poudre Pimpant 700g,Lessive universelle en poudre Pimpant 700g,NON,Pimpant,Pimpant,NON,700g,700g,NON,https://eau-vive.com/magasin-bio/produit/lessive-universelle-en-poudre-pimpant-700g_123359,https://eau-vive.com/magasin-bio/produit/lessive-universelle-en-poudre-pimpant-700g_123359,NON,,,NON,,,NON,7.0,7.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
2059,1,ean,84704,84704,NON,3252920034239,,OUI,Lait écrémé en poudre Grandeur Nature 300g,Lait écrémé en poudre Grandeur Nature 300g,NON,Grandeur Nature,Grandeur Nature,NON,300g,300g,NON,https://eau-vive.com/magasin-bio/produit/lait-ecreme-en-poudre-grandeur-nature-300g_84704,https://eau-vive.com/magasin-bio/produit/lait-ecreme-en-poudre-grandeur-nature-300g_84704,NON,,,NON,,,NON,5.0,5.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
2661,1,ean,122043,122043,NON,,3700531213654,OUI,Bonbons crazy citron Belledonne 120g,Bonbons crazy citron Belledonne 120g,NON,Belledonne,Belledonne,NON,120g,120g,NON,https://eau-vive.com/magasin-bio/produit/bonbons-crazy-citron-belledonne-120g_122043,https://eau-vive.com/magasin-bio/produit/bonbons-crazy-citron-belledonne-120g_122043,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/c3/13/9a7894fdf17e50c167f3fdb4ec25.jpg,https://api.eau-vive.com/media/cache/drive_card_list/c3/13/9a7894fdf17e50c167f3fdb4ec25.jpg,NON,3.0,3.0,NON,0,0,NON,2026-08-12,2026-08-12,NON
3497,1,ean,110387,110387,NON,,3291960017888,OUI,Ail Noir Tête Emile Noël 65g,Ail Noir Tête Emile Noël 65g,NON,Emile Noël,Emile Noël,NON,65g,65g,NON,https://eau-vive.com/magasin-bio/produit/ail-noir-tete-emile-noel-65g_110387,https://eau-vive.com/magasin-bio/produit/ail-noir-tete-emile-noel-65g_110387,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/a4/4c/45fe4f958a1c71d624e039484ef5.jpg,https://api.eau-vive.com/media/cache/drive_card_list/a4/4c/45fe4f958a1c71d624e039484ef5.jpg,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
3546,1,ean,1431,1431,NON,,3291960000026,OUI,Huile de tournesol vierge Emile Noël 1l,Huile de tournesol vierge Emile Noël 1l,NON,Emile Noël,Emile Noël,NON,1L,1L,NON,https://eau-vive.com/magasin-bio/produit/huile-de-tournesol-vierge-emile-noel-1l_1431,https://eau-vive.com/magasin-bio/produit/huile-de-tournesol-vierge-emile-noel-1l_1431,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/33/c8/9015d4d89e272db95db264185c9c.jpg,https://api.eau-vive.com/media/cache/drive_card_list/33/c8/9015d4d89e272db95db264185c9c.jpg,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
3549,1,ean,17575,17575,NON,,3291960004826,OUI,Huile de lin vierge Emile Noël 25cl,Huile de lin vierge Emile Noël 25cl,NON,Emile Noël,Emile Noël,NON,25cL,25cL,NON,https://eau-vive.com/magasin-bio/produit/huile-de-lin-vierge-emile-noel-25cl_17575,https://eau-vive.com/magasin-bio/produit/huile-de-lin-vierge-emile-noel-25cl_17575,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/5c/e1/d58e4d3e1b63de8aa90eeced06b2.jpg,https://api.eau-vive.com/media/cache/drive_card_list/5c/e1/d58e4d3e1b63de8aa90eeced06b2.jpg,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
3551,1,ean,3555,3555,NON,,3291960006783,OUI,Huile de noisette Emile Noël 25cl,Huile de noisette Emile Noël 25cl,NON,Emile Noël,Emile Noël,NON,25cL,25cL,NON,https://eau-vive.com/magasin-bio/produit/huile-de-noisette-emile-noel-25cl_3555,https://eau-vive.com/magasin-bio/produit/huile-de-noisette-emile-noel-25cl_3555,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/a8/da/e16b59a6f7bc8a0f367c6a19a8ed.jpg,https://api.eau-vive.com/media/cache/drive_card_list/a8/da/e16b59a6f7bc8a0f367c6a19a8ed.jpg,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
3555,1,ean,5343,5343,NON,,3291960005960,OUI,Huile d'olive extra fruitée Emile Noël 1L,Huile d'olive extra fruitée Emile Noël 1L,NON,Emile Noël,Emile Noël,NON,1L,1L,NON,https://eau-vive.com/magasin-bio/produit/huile-d-olive-extra-fruitee-emile-noel-1l_5343,https://eau-vive.com/magasin-bio/produit/huile-d-olive-extra-fruitee-emile-noel-1l_5343,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/36/f4/d5e93739c1fb76da83a0cdaa7427.jpg,https://api.eau-vive.com/media/cache/drive_card_list/36/f4/d5e93739c1fb76da83a0cdaa7427.jpg,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
3558,1,ean,25599,25599,NON,,3291960012968,OUI,Huile d'olive bio vierge extra fruité mûr Emile Noël 1L,Huile d'olive bio vierge extra fruité mûr Emile Noël 1L,NON,Emile Noël,Emile Noël,NON,1L,1L,NON,https://eau-vive.com/magasin-bio/produit/huile-d-olive-bio-vierge-extra-fruite-mur-emile-noel-1l_25599,https://eau-vive.com/magasin-bio/produit/huile-d-olive-bio-vierge-extra-fruite-mur-emile-noel-1l_25599,NON,,,NON,,,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
