id,Nb_colonnes_modifiees,Colonnes_modifiees,code_interne,code_interne_Base1,code_interne_Differe,ean,ean_Base1,ean_Differe,description,description_Base1,description_Differe,marque,marque_Base1,marque_Differe,volume,volume_Base1,volume_Differe,lien_fiche,lien_fiche_Base1,lien_fiche_Differe,caracteristique,caracteristique_Base1,caracteristique_Differe,url_img,url_img_Base1,url_img_Differe,categorie_id,categorie_id_Base1,categorie_id_Differe,ean_valide,ean_valide_Base1,ean_valide_Differe,date_validation,date_validation_Base1,date_validation_Differe
7412,1,ean,21466,21466,NON,,3760138834805,OUI,Papier Cuisson Recharge Ah Table 15M,Papier Cuisson Recharge Ah Table 15M,NON,Ah Table,Ah Table,NON,5.50€ / pièce,5.50€ / pièce,NON,https://eau-vive.com/magasin-bio/produit/papier-cuisson-recharge-ah-table-15m_21466,https://eau-vive.com/magasin-bio/produit/papier-cuisson-recharge-ah-table-15m_21466,NON,,,NON,,,NON,7.0,7.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
7488,1,volume,94020,94020,NON,,,NON,Vrac sirop framboise mûre Bigallet 5l,Vrac sirop framboise mûre Bigallet 5l,NON,Bigallet,Bigallet,NON,1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-framboise-mure_94020,https://eau-vive.com/magasin-bio/produit/vrac-sirop-framboise-mure_94020,NON,Local,Local,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
7489,2,"ean, volume",94024,94024,NON,,3336770054330,OUI,Vrac sirop pêche Bigallet 5l,Vrac sirop pêche Bigallet 5l,NON,Bigallet,Bigallet,NON,1Kg | 1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-peche_94024,https://eau-vive.com/magasin-bio/produit/vrac-sirop-peche_94024,NON,Local,Local,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
7490,2,"ean, volume",94021,94021,NON,,3336770054316,OUI,Vrac sirop grenadine Bigallet 5l,Vrac sirop grenadine Bigallet 5l,NON,Bigallet,Bigallet,NON,1Kg | 1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-grenadine_94021,https://eau-vive.com/magasin-bio/produit/vrac-sirop-grenadine_94021,NON,Local; Val de Virieu 38730,Local; Val de Virieu 38730,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
7525,1,volume,94023,94023,NON,,,NON,Vrac sirop myrtille Bigallet 5l,Vrac sirop myrtille Bigallet 5l,NON,Bigallet,Bigallet,NON,1Kg | 1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-myrtille_94023,https://eau-vive.com/magasin-bio/produit/vrac-sirop-myrtille_94023,NON,Local,Local,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
7590,1,ean,98231,98231,NON,,3770008500174,OUI,Beurre de cacahuètes crunchy Go Nuts 270g,Beurre de cacahuètes crunchy Go Nuts 270g,NON,Go Nuts,Go Nuts,NON,270g,270g,NON,https://eau-vive.com/magasin-bio/produit/beurre-de-cacahuetes-crunchy-go-nuts-270g_98231,https://eau-vive.com/magasin-bio/produit/beurre-de-cacahuetes-crunchy-go-nuts-270g_98231,NON,Sans Gluten; Sans Lactose,Sans Gluten; Sans Lactose,NON,,,NON,3.0,3.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
7595,2,"ean, volume",123337,123337,NON,,3701761500446,OUI,Huile lactée démaquillante Endro 100ml,Huile lactée démaquillante Endro 100ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/huile-lactee-demaquillante-endro-100ml_123337,https://eau-vive.com/magasin-bio/produit/huile-lactee-demaquillante-endro-100ml_123337,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
7596,2,"ean, volume",123347,123347,NON,,3701761500620,OUI,Soin contour des yeux routine hydratante Endro 10ml,Soin contour des yeux routine hydratante Endro 10ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/soin-contour-des-yeux-routine-hydratante-endro-10ml_123347,https://eau-vive.com/magasin-bio/produit/soin-contour-des-yeux-routine-hydratante-endro-10ml_123347,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/69/e5/97894d2e7a06e203db94702bcf51.jpg,https://api.eau-vive.com/media/cache/drive_card_list/69/e5/97894d2e7a06e203db94702bcf51.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
7609,2,"ean, volume",123348,123348,NON,,3701761500637,OUI,Soin contour des yeux et lèvres routine anti-âge Endro 20ml,Soin contour des yeux et lèvres routine anti-âge Endro 20ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/soin-contour-des-yeux-et-levres-routine-anti-age-endro-20ml_123348,https://eau-vive.com/magasin-bio/produit/soin-contour-des-yeux-et-levres-routine-anti-age-endro-20ml_123348,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/82/7d/786168cee2b40a4abed2eb8df991.jpg,https://api.eau-vive.com/media/cache/drive_card_list/82/7d/786168cee2b40a4abed2eb8df991.jpg,NON,8.0,8.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
7651,1,ean,98229,98229,NON,,3770008500198,OUI,Purée d'amandes complètes Go Nuts 270g,Purée d'amandes complètes Go Nuts 270g,NON,Go Nuts,Go Nuts,NON,270g,270g,NON,https://eau-vive.com/magasin-bio/produit/puree-d-amandes-completes-go-nuts-270g_98229,https://eau-vive.com/magasin-bio/produit/puree-d-amandes-completes-go-nuts-270g_98229,NON,Sans Gluten; Sans Lactose; Sans Sucre,Sans Gluten; Sans Lactose; Sans Sucre,NON,,,NON,3.0,3.0,NON,0,0,NON,,,NON
